FILTER ID: ,490FS10-25,,,550FS10-25,,,680FS10-25,,,720FS10-25,,,800FS20-25,,,900FS20-25,
,,,,,,,,,,,,,,,,,
,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance,,Wavelength [nm],% Normalized Transmittance
,483.5,1.4543,,557,19.444,,673.5,1.3754,,713.5,4.1637,,786.8,11.5253,,893.75,48.6419
,483.6,1.5597,,557.2,17.04,,673.6,1.4668,,713.6,4.5314,,787.0001,12.4511,,894,49.9039
,483.7,1.6741,,557.4,14.8489,,673.7,1.5652,,713.7,4.935,,787.2001,13.4396,,894.25,50.9711
,483.8,1.7982,,557.6,12.8822,,673.8,1.6714,,713.8,5.378,,787.4,14.4914,,894.5,51.8637
,483.9,1.9329,,557.8,11.1404,,673.9,1.786,,713.9,5.8645,,787.6,15.6063,,894.75,52.604
,484,2.0794,,558,9.6156,,674,1.91,,714,6.3992,,787.8,16.7832,,895,53.2146
,484.1,2.2387,,558.2,8.2929,,674.1,2.0442,,714.1,6.9872,,788.0001,18.0199,,895.25,53.7178
,484.2,2.412,,558.4,7.1537,,674.2,2.1894,,714.2,7.6341,,788.2001,19.3129,,895.5,54.1336
,484.3,2.6009,,558.6,6.1772,,674.3,2.3467,,714.3,8.3459,,788.4,20.6575,,895.75,54.4802
,484.4,2.807,,558.8,5.3423,,674.4,2.517,,714.4,9.1289,,788.6,22.0479,,896,54.7731
,484.5,3.0319,,559,4.6291,,674.5,2.7011,,714.5,9.9896,,788.8,23.4769,,896.25,55.0257
,484.6,3.2778,,559.2,4.0195,,674.6,2.9003,,714.6,10.9342,,789.0001,24.9363,,896.5,55.2489
,484.7,3.5469,,559.4,3.4978,,674.7,3.1158,,714.7,11.9688,,789.2001,26.417,,896.75,55.4519
,484.8,3.8418,,559.6,3.0506,,674.8,3.349,,714.8,13.0988,,789.4,27.9091,,897,55.6422
,484.9,4.1652,,559.8,2.6664,,674.9,3.6018,,714.9,14.3287,,789.6,29.4023,,897.25,55.8255
,485,4.5203,,560,2.336,,675,3.8761,,715,15.6619,,789.8,30.886,,897.5,56.0061
,485.1,4.9106,,560.2,2.0512,,675.1,4.1744,,715.1,17.1004,,790.0001,32.3496,,897.75,56.1867
,485.2,5.3396,,560.4,1.8054,,675.2,4.499,,715.2,18.6443,,790.2001,33.7828,,898,56.3685
,485.3,5.8116,,560.6,1.5929,,675.3,4.8528,,715.3,20.292,,790.4,35.176,,898.25,56.551
,485.4,6.3307,,560.8,1.409,,675.4,5.2382,,715.4,22.0394,,790.6,36.5202,,898.5,56.7323
,485.5,6.9016,,561,1.2493,,675.5,5.6581,,715.5,23.8801,,790.8,37.8075,,898.75,56.9094
,485.6,7.5288,,561.2,1.1105,,675.6,6.115,,715.6,25.8051,,791.0001,39.031,,899,57.0781
,485.7,8.2172,,561.4,0.9894,,675.7,6.6115,,715.7,27.8026,,791.2001,40.1854,,899.25,57.2342
,485.8,8.9715,,561.6,0.8834,,675.8,7.1504,,715.8,29.8586,,791.4,41.2667,,899.5,57.3732
,485.9,9.7965,,561.8,0.7905,,675.9,7.7348,,715.9,31.9563,,791.6,42.2722,,899.75,57.4913
,486,10.6966,,562,0.7086,,676,8.3683,,716,34.077,,791.8,43.2009,,900,57.586
,486.1,11.6758,,562.2,0.6363,,676.1,9.0548,,716.1,36.2002,,792.0001,44.0531,,900.25,57.6564
,486.2,12.7376,,562.4,0.5722,,676.2,9.7989,,716.2,38.3046,,792.2001,44.8308,,900.5,57.7034
,486.3,13.8849,,562.6,0.5153,,676.3,10.6058,,716.3,40.3682,,792.4,45.5368,,900.75,57.7301
,486.4,15.1196,,562.8,0.4648,,676.4,11.4807,,716.4,42.3696,,792.6,46.1753,,901,57.7415
,486.5,16.4427,,563,0.4199,,676.5,12.4288,,716.5,44.2886,,792.8,46.7513,,901.25,57.744
,486.6,17.8538,,563.2,0.38,,676.6,13.4551,,716.6,46.1067,,793.0001,47.2705,,901.5,57.7448
,486.7,19.3514,,563.4,0.3446,,676.7,14.5636,,716.7,47.8083,,793.2001,47.739,,901.75,57.7509
,486.8,20.9326,,563.6,0.3133,,676.8,15.7576,,716.8,49.3806,,793.4,48.1632,,902,57.768
,486.9,22.5928,,563.8,0.2854,,676.9,17.0391,,716.9,50.8145,,793.6,48.5494,,902.25,57.7994
,487,24.3261,,564,0.2606,,677,18.4091,,717,52.1044,,793.8,48.9039,,902.5,57.8447
,487.1,26.125,,564.2,0.2384,,677.1,19.8678,,717.1,53.2482,,794.0001,49.2324,,902.75,57.8991
,487.2,27.9805,,564.4,0.2184,,677.2,21.4143,,717.2,54.2474,,794.2001,49.5404,,903,57.9524
,487.3,29.8822,,564.6,0.2003,,677.3,23.0473,,717.3,55.1066,,794.4,49.8328,,903.25,57.9895
,487.4,31.8188,,564.8,0.1838,,677.4,24.7646,,717.4,55.8329,,794.6,50.1137,,903.5,57.9897
,487.5,33.7776,,565,0.1687,,677.5,26.5632,,717.5,56.4358,,794.8,50.387,,903.75,57.9279
,487.6,35.7455,,565.2,0.155,,677.6,28.4388,,717.6,56.9263,,795.0001,50.6557,,904,57.7755
,487.7,37.7087,,565.4,0.1424,,677.7,30.3854,,717.7,57.3166,,795.2001,50.9225,,904.25,57.5016
,487.8,39.6535,,565.6,0.131,,677.8,32.3948,,717.8,57.6194,,795.4,51.1894,,904.5,57.0748
,487.9,41.5659,,565.8,0.1206,,677.9,34.4566,,717.9,57.8477,,795.6,51.4579,,904.75,56.4649
,488,43.4329,,566,0.111,,678,36.5574,,718,58.0141,,795.8,51.7294,,905,55.6446
,488.1,45.242,,566.2,0.1023,,678.1,38.6817,,718.1,58.1307,,796.0001,52.0047,,905.25,54.5912
,488.2,46.9816,,566.4,0.0943,,678.2,40.8119,,718.2,58.2085,,796.2001,52.2841,,905.5,53.2882
,488.3,48.6417,,566.6,0.087,,678.3,42.9296,,718.3,58.2575,,796.4,52.5679,,905.75,51.7265
,488.4,50.2136,,566.8,0.0803,,678.4,45.0161,,718.4,58.2861,,796.6,52.856,,906,49.9057
,488.5,51.6905,,567,0.0744,,678.5,47.0537,,718.5,58.3014,,796.8,53.1478,,906.25,47.8343
,488.6,53.067,,567.2,0.069,,678.6,49.0261,,718.6,58.3091,,797.0001,53.4428,,906.5,45.5303
,488.7,54.3399,,567.4,0.0644,,678.7,50.9195,,718.7,58.3134,,797.2001,53.7402,,906.75,43.0207
,488.8,55.5075,,567.6,0.0602,,678.8,52.7222,,718.8,58.3172,,797.4,54.0389,,907,40.3406
,488.9,56.5699,,567.8,0.0565,,678.9,54.4251,,718.9,58.3223,,797.6,54.3381,,907.25,37.5325
,489,57.5288,,568,0.0531,,679,56.0217,,719,58.3297,,797.8,54.6366,,907.5,34.6436
,489.1,58.3874,,568.2,0.0498,,679.1,57.5072,,719.1,58.3396,,798.0001,54.9335,,907.75,31.7246
,489.2,59.1499,,568.4,0.0464,,679.2,58.8787,,719.2,58.3518,,798.2001,55.2279,,908,28.8265
,489.3,59.8219,,568.6,0.0433,,679.3,60.135,,719.3,58.3657,,798.4,55.5192,,908.25,25.9986
,489.4,60.4093,,568.8,0.0397,,679.4,61.2764,,719.4,58.3804,,798.6,55.8067,,908.5,23.2854
,489.5,60.9189,,569,0.0366,,679.5,62.3045,,719.5,58.3949,,798.8,56.09,,908.75,20.7251
,489.6,61.3576,,569.2,0.0346,,679.6,63.2223,,719.6,58.4081,,799.0001,56.3687,,909,18.3473
,489.7,61.7326,,569.4,0.0308,,679.7,64.0344,,719.7,58.4188,,799.2,56.6424,,909.25,16.1722
,489.8,62.0507,,569.6,0.0326,,679.8,64.7468,,719.8,58.4255,,799.4,56.9107,,909.5,14.2102
,489.9,62.3185,,569.8,0.0326,,679.9,65.3667,,719.9,58.4269,,799.6,57.1734,,909.75,12.4623
,490,62.5424,,570,0.0289,,680,65.9022,,720,58.4212,,799.8,57.4298,,910,10.921
,490.1,62.7279,,,,,680.1,66.3622,,720.1,58.4068,,800.0001,57.6794,,910.25,9.5722
,490.2,62.88,,,,,680.2,66.7559,,720.2,58.3817,,800.2,57.9214,,910.5,8.3971
,490.3,63.0032,,,,,680.3,67.0921,,720.3,58.3443,,800.4,58.155,,910.75,7.3745
,490.4,63.1011,,,,,680.4,67.3792,,720.4,58.2927,,800.6,58.3792,,911,6.4829
,490.5,63.1768,,,,,680.5,67.6249,,720.5,58.2256,,800.8,58.5931,,911.25,5.7019
